id,date,store_nbr,family,sales,onpromotion
585,1/01/2013,25,MEATS,110.801,0
586,1/01/2013,25,PERSONAL CARE,25,0
1806,2/01/2013,1,MEATS,369.101,0
1807,2/01/2013,1,PERSONAL CARE,194,0
1839,2/01/2013,10,MEATS,291.14,0
1840,2/01/2013,10,PERSONAL CARE,223,0
1872,2/01/2013,11,MEATS,832.541,0
1873,2/01/2013,11,PERSONAL CARE,604,0
1905,2/01/2013,12,MEATS,232.349,0
1906,2/01/2013,12,PERSONAL CARE,210,0
1938,2/01/2013,13,MEATS,137.91,0
1939,2/01/2013,13,PERSONAL CARE,241,0
1971,2/01/2013,14,MEATS,368.732,0
1972,2/01/2013,14,PERSONAL CARE,493,0
2004,2/01/2013,15,MEATS,84.805,0
2005,2/01/2013,15,PERSONAL CARE,312,0
2037,2/01/2013,16,MEATS,12.584,0
2038,2/01/2013,16,PERSONAL CARE,275,0
2070,2/01/2013,17,MEATS,226.374,0
2071,2/01/2013,17,PERSONAL CARE,214,0
2103,2/01/2013,18,MEATS,117.167,0
2104,2/01/2013,18,PERSONAL CARE,178,0
2136,2/01/2013,19,MEATS,153.44101,0
2137,2/01/2013,19,PERSONAL CARE,119,0
2169,2/01/2013,2,MEATS,655.626,0
2170,2/01/2013,2,PERSONAL CARE,333,0
2301,2/01/2013,23,MEATS,517.363,0
2302,2/01/2013,23,PERSONAL CARE,198,0
2334,2/01/2013,24,MEATS,453.601,0
2335,2/01/2013,24,PERSONAL CARE,339,0
2367,2/01/2013,25,MEATS,244.703,0
2368,2/01/2013,25,PERSONAL CARE,123,0
2400,2/01/2013,26,MEATS,381.225,0
2401,2/01/2013,26,PERSONAL CARE,316,0
2433,2/01/2013,27,MEATS,214.951,0
2434,2/01/2013,27,PERSONAL CARE,169,0
2466,2/01/2013,28,MEATS,45.007,0
2467,2/01/2013,28,PERSONAL CARE,208,0
2532,2/01/2013,3,MEATS,945.636,0
2533,2/01/2013,3,PERSONAL CARE,623,0
2565,2/01/2013,30,MEATS,55.99,0
2566,2/01/2013,30,PERSONAL CARE,76,0
2598,2/01/2013,31,MEATS,91.72,0
2599,2/01/2013,31,PERSONAL CARE,321,0
2631,2/01/2013,32,MEATS,73.95,0
2632,2/01/2013,32,PERSONAL CARE,155,0
2664,2/01/2013,33,MEATS,58.864998,0
2665,2/01/2013,33,PERSONAL CARE,239,0
2697,2/01/2013,34,MEATS,113.802,0
2698,2/01/2013,34,PERSONAL CARE,324,0
2730,2/01/2013,35,MEATS,27.923,0
2731,2/01/2013,35,PERSONAL CARE,107,0
2796,2/01/2013,37,MEATS,381.245,0
2797,2/01/2013,37,PERSONAL CARE,480,0
2829,2/01/2013,38,MEATS,291.152,0
2830,2/01/2013,38,PERSONAL CARE,450,0
2862,2/01/2013,39,MEATS,141.338,0
2863,2/01/2013,39,PERSONAL CARE,404,0
2895,2/01/2013,4,MEATS,494.204,0
2896,2/01/2013,4,PERSONAL CARE,387,0
2928,2/01/2013,40,MEATS,72.568,0
2929,2/01/2013,40,PERSONAL CARE,229,0
2961,2/01/2013,41,MEATS,158.544,0
2962,2/01/2013,41,PERSONAL CARE,181,0
3027,2/01/2013,43,MEATS,57.174,0
3028,2/01/2013,43,PERSONAL CARE,238,0
3060,2/01/2013,44,MEATS,1072.927,0
3061,2/01/2013,44,PERSONAL CARE,716,0
3093,2/01/2013,45,MEATS,1640.979,0
3094,2/01/2013,45,PERSONAL CARE,756,0
3126,2/01/2013,46,MEATS,1966.993,0
3127,2/01/2013,46,PERSONAL CARE,1122,0
3159,2/01/2013,47,MEATS,1143.33,0
3160,2/01/2013,47,PERSONAL CARE,935,0
3192,2/01/2013,48,MEATS,1757.04,0
3193,2/01/2013,48,PERSONAL CARE,851,0
3225,2/01/2013,49,MEATS,732.115,0
3226,2/01/2013,49,PERSONAL CARE,399,0
3258,2/01/2013,5,MEATS,455.39902,0
3259,2/01/2013,5,PERSONAL CARE,427,0
3291,2/01/2013,50,MEATS,875.581,0
3292,2/01/2013,50,PERSONAL CARE,733,0
3324,2/01/2013,51,MEATS,757.924,0
3325,2/01/2013,51,PERSONAL CARE,391,0
3423,2/01/2013,54,MEATS,73.771,0
3424,2/01/2013,54,PERSONAL CARE,228,0
3456,2/01/2013,6,MEATS,612.151,0
3457,2/01/2013,6,PERSONAL CARE,533,0
3489,2/01/2013,7,MEATS,475.592,0
3490,2/01/2013,7,PERSONAL CARE,225,0
3522,2/01/2013,8,MEATS,630.4,0
3523,2/01/2013,8,PERSONAL CARE,443,0
3555,2/01/2013,9,MEATS,374.531,0
3556,2/01/2013,9,PERSONAL CARE,482,0
3588,3/01/2013,1,MEATS,272.319,0
3589,3/01/2013,1,PERSONAL CARE,153,0
3621,3/01/2013,10,MEATS,279.74298,0
3622,3/01/2013,10,PERSONAL CARE,169,0
3654,3/01/2013,11,MEATS,677.96204,0
3655,3/01/2013,11,PERSONAL CARE,441,0
3687,3/01/2013,12,MEATS,180.388,0
3688,3/01/2013,12,PERSONAL CARE,123,0
3720,3/01/2013,13,MEATS,86.622,0
3721,3/01/2013,13,PERSONAL CARE,210,0
3753,3/01/2013,14,MEATS,413.152,0
3754,3/01/2013,14,PERSONAL CARE,303,0
3786,3/01/2013,15,MEATS,151.772,0
3787,3/01/2013,15,PERSONAL CARE,272,0
3819,3/01/2013,16,MEATS,82.96,0
3820,3/01/2013,16,PERSONAL CARE,248,0
3852,3/01/2013,17,MEATS,119.441,0
3853,3/01/2013,17,PERSONAL CARE,183,0
3885,3/01/2013,18,MEATS,139.119,0
3886,3/01/2013,18,PERSONAL CARE,98,0
3918,3/01/2013,19,MEATS,112.275,0
3919,3/01/2013,19,PERSONAL CARE,146,0
3951,3/01/2013,2,MEATS,597.745,0
3952,3/01/2013,2,PERSONAL CARE,236,0
4083,3/01/2013,23,MEATS,383.157,0
4084,3/01/2013,23,PERSONAL CARE,184,0
4116,3/01/2013,24,MEATS,443.188,0
4117,3/01/2013,24,PERSONAL CARE,279,0
4149,3/01/2013,25,MEATS,392.49802,0
4150,3/01/2013,25,PERSONAL CARE,117,0
4182,3/01/2013,26,MEATS,237.145,0
4183,3/01/2013,26,PERSONAL CARE,218,0
4215,3/01/2013,27,MEATS,147.005,0
4216,3/01/2013,27,PERSONAL CARE,102,0
4248,3/01/2013,28,MEATS,88.628,0
4249,3/01/2013,28,PERSONAL CARE,146,0
4314,3/01/2013,3,MEATS,700.47003,0
4315,3/01/2013,3,PERSONAL CARE,382,0
4347,3/01/2013,30,MEATS,47.231003,0
4348,3/01/2013,30,PERSONAL CARE,66,0
4380,3/01/2013,31,MEATS,160.608,0
4381,3/01/2013,31,PERSONAL CARE,195,0
4413,3/01/2013,32,MEATS,76.955,0
4414,3/01/2013,32,PERSONAL CARE,147,0
4446,3/01/2013,33,MEATS,239.868,0
4447,3/01/2013,33,PERSONAL CARE,291,0
4479,3/01/2013,34,MEATS,218.637,0
4480,3/01/2013,34,PERSONAL CARE,319,0
4512,3/01/2013,35,MEATS,102.221,0
4513,3/01/2013,35,PERSONAL CARE,75,0
4578,3/01/2013,37,MEATS,292.87,0
4579,3/01/2013,37,PERSONAL CARE,394,0
4611,3/01/2013,38,MEATS,214.364,0
4612,3/01/2013,38,PERSONAL CARE,328,0
4644,3/01/2013,39,MEATS,200.026,0
4645,3/01/2013,39,PERSONAL CARE,273,0
4677,3/01/2013,4,MEATS,373.155,0
4678,3/01/2013,4,PERSONAL CARE,245,0
4710,3/01/2013,40,MEATS,63.044,0
4711,3/01/2013,40,PERSONAL CARE,206,0
4743,3/01/2013,41,MEATS,136.783,0
4744,3/01/2013,41,PERSONAL CARE,138,0
4809,3/01/2013,43,MEATS,71.697,0
4810,3/01/2013,43,PERSONAL CARE,173,0
4842,3/01/2013,44,MEATS,906.065,0
4843,3/01/2013,44,PERSONAL CARE,423,0
4875,3/01/2013,45,MEATS,1062.36,0
4876,3/01/2013,45,PERSONAL CARE,480,0
4908,3/01/2013,46,MEATS,1103.646,0
4909,3/01/2013,46,PERSONAL CARE,754,0
4941,3/01/2013,47,MEATS,798.486,0
4942,3/01/2013,47,PERSONAL CARE,701,0
4974,3/01/2013,48,MEATS,787.153,0
4975,3/01/2013,48,PERSONAL CARE,725,0
5007,3/01/2013,49,MEATS,487.864,0
5008,3/01/2013,49,PERSONAL CARE,210,0
5040,3/01/2013,5,MEATS,352.642,0
5041,3/01/2013,5,PERSONAL CARE,312,0
5073,3/01/2013,50,MEATS,845.97504,0
5074,3/01/2013,50,PERSONAL CARE,419,0
5106,3/01/2013,51,MEATS,594.061,0
5107,3/01/2013,51,PERSONAL CARE,236,0
5205,3/01/2013,54,MEATS,50.257,0
5206,3/01/2013,54,PERSONAL CARE,156,0
5238,3/01/2013,6,MEATS,442.535,0
